# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 191, 143, 0.4225627156707418, 0.63403365049327, 0.3630602849939536, 7048.00
0.20, 184, 138, 0.3447245075468873, 0.6234536697829023, 0.48655296140436394, 7249.00
0.40, 199, 149, 0.33441035189113344, 0.6402357432822017, 0.5444510706975674, 6875.00
0.60, 191, 143, 0.4225627156707418, 0.63403365049327, 0.6619101369683277, 6018.00
0.80, 200, 150, 0.5614817330182926, 0.6330071144600554, 0.8771881267232332, 5446.00
1.00, 191, 143, 0.4225627156707418, 0.63403365049327, 1.5758414322444452, 6045.00
1.20, 199, 149, 0.33441035189113344, 0.6402357432822017, 1.708325477243987, 6992.00
