# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 98, 73, 0.38752828151290675, 0.6402357432822017, 0.9537783222018409, 13391.11
0.20, 86, 64, 0.5902689541699343, 0.6209594980407194, 2.0505215266882293, 14135.56
0.40, 98, 73, 0.38752828151290675, 0.6402357432822017, 3.1198824028326784, 12935.56
0.60, 105, 78, 0.4874288856011457, 0.6006312397804916, 3.5033043242334534, 13233.33
0.80, 90, 67, 0.4125673125117386, 0.6384600130675339, 4.001331721281734, 14480.00
1.00, 86, 64, 0.5902689541699343, 0.6209594980407194, 12.031102623626696, 13451.11
1.20, 86, 64, 0.5902689541699343, 0.6209594980407194, 19.4543749561393, 12628.89
