# Opt Vals for Tau = 0.20 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 59, 0.19510151457785013, 0.6119040800504136, 0.41967102453438854, 5645.00
0.20, 60, 0.38930882150139756, 0.6015852533436766, 0.5169501805018012, 5433.00
0.40, 59, 0.19510151457785013, 0.6119040800504136, 0.8611693820883628, 5677.00
0.60, 59, 0.19510151457785013, 0.6119040800504136, 0.990305678614743, 4790.00
0.80, 48, 0.38930882150139756, 0.6015852533436766, 1.2568522149036974, 5631.00 
1.00, 59, 0.19510151457785013, 0.6119040800504136, 1.9143243623024802, 4873.00
1.20, 59, 0.19510151457785013, 0.6119040800504136, 2.3969652602734683, 5833.00
