# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 251, 188, 0.2551234719810215, 0.6475978894866796, 0.2123122587943564, 5327.33
0.20, 251, 188, 0.2551234719810215, 0.6475978894866796, 0.23970732715210422, 5251.67
0.40, 268, 201, 0.33441035189113344, 0.6402357432822017, 0.28215252854956907, 5113.67
0.60, 257, 192, 0.3657091406396733, 0.6384600130675339, 0.3186822935430915, 5428.67
0.80, 233, 174, 0.22408148671952496, 0.611635930392633, 0.32477734930139285, 6079.67
1.00, 224, 168, 0.1899428022293223, 0.634842170176667, 0.3443046332675874, 6238.67
1.20, 224, 168, 0.1899428022293223, 0.634842170176667, 0.38096469601893185, 5694.00
