# Opt Vals for Tau = 1.00 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 305, 0.38930882150139756, 0.6015852533436766, 0.149513697716762, 1030.80
0.20, 304, 0.19510151457785013, 0.6119040800504136, 0.18840422448681018, 1075.40
0.40, 305, 0.38930882150139756, 0.6015852533436766, 0.2875714644371194, 1054.20
0.60, 300, 0.5827263838248757, 0.6362570488921456, 0.4584423553812278, 902.20
0.80, 304, 0.19510151457785013, 0.6119040800504136, 0.516131365314672, 997.80
1.00, 295, 0.38930882150139756, 0.6015852533436766, 0.6975649620749139, 913.20
1.20, 305, 0.38930882150139756, 0.6015852533436766, 0.759924325945597, 1010.60
