# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 453, 339, 0.1899428022293223, 0.634842170176667, 0.17111346855200946, 2924.83
0.20, 453, 339, 0.1899428022293223, 0.634842170176667, 0.1797053535795241, 2825.67
0.40, 452, 339, 0.14714574980523515, 0.6295214187228424, 0.18287499456681464, 3282.33
0.60, 453, 339, 0.1899428022293223, 0.634842170176667, 0.2218732329426767, 2751.67
0.80, 457, 342, 0.3447245075468873, 0.6234536697829023, 0.2276105095038183, 2864.17
1.00, 452, 339, 0.14714574980523515, 0.6295214187228424, 0.23695624680703867, 2934.83
1.20, 457, 342, 0.3447245075468873, 0.6234536697829023, 0.3886246481845256, 2372.33
