# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 412, 309, 0.2551234719810215, 0.6475978894866796, 0.1814539992290373, 3132.80
0.20, 379, 284, 0.33441035189113344, 0.6402357432822017, 0.1942982513043074, 3568.80
0.40, 357, 267, 0.1899428022293223, 0.634842170176667, 0.2150700939391498, 3662.20
0.60, 380, 285, 0.5614817330182926, 0.6330071144600554, 0.22542172458944196, 3531.40
0.80, 374, 280, 0.3657091406396733, 0.6384600130675339, 0.25230532120253507, 3305.40
1.00, 368, 276, 0.4225627156707418, 0.63403365049327, 0.3481121996860108, 2990.60
1.20, 360, 270, 0.3447245075468873, 0.6234536697829023, 0.3660452843694768, 3534.80
