# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 218, 163, 0.4225627156707418, 0.63403365049327, 0.2589258836521943, 6014.00
0.20, 247, 185, 0.33441035189113344, 0.6402357432822017, 0.25250632376432985, 5473.50
0.40, 218, 163, 0.4225627156707418, 0.63403365049327, 0.30460625841523037, 6009.00
0.60, 186, 139, 0.1899428022293223, 0.634842170176667, 0.3656283807824514, 5852.00
0.80, 184, 138, 0.14714574980523515, 0.6295214187228424, 0.39347498010102716, 6587.50
1.00, 218, 163, 0.4225627156707418, 0.63403365049327, 0.5756503153306168, 6328.50
1.20, 191, 143, 0.19155383144854812, 0.6038197834547986, 0.7228803648037908, 6512.50
