# Opt Vals for Tau = 1.20 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 385, 0.19510151457785013, 0.6119040800504136, 0.13662896318387252, 835.00
0.20, 385, 0.19510151457785013, 0.6119040800504136, 0.18302181120660338, 814.83
0.40, 386, 0.46539569410008974, 0.6268604933918728, 0.26202701593466066, 952.66
0.60, 388, 0.38930882150139756, 0.6015852533436766, 0.41257139522761255, 795.50
0.80, 385, 0.19510151457785013, 0.6119040800504136, 0.5057371917179115, 832.83
1.00, 388, 0.38930882150139756, 0.6015852533436766, 0.6211025918154195, 839.33
1.20, 351, 0.38930882150139756, 0.6015852533436766, 0.8469692078986512, 777.17
