# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 30, 0.38930882150139756, 0.6015852533436766, 1.3691749135535118, 10862.22
0.20, 29, 0.19510151457785013, 0.6119040800504136, 2.3286842869190334, 11784.44
0.40, 26, 0.47418313825500535, 0.6155446192588184, 3.469141857742397, 12031.11
0.60, 25, 0.5827263838248757, 0.6362570488921456, 2.122165270412897, 12433.33
0.80, 30, 0.38930882150139756, 0.6015852533436766, 4.264530100109569, 10680.00
1.00, 29, 0.19510151457785013, 0.6119040800504136, 16.79123488076952, 11435.56
1.20, 25, 0.5827263838248757, 0.6362570488921456, 27.895918883462578, 10986.67
