# Opt Vals for Tau = 0.09 ms
Lambda (mm), SS1, OL1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 333, 249, 0.2551234719810215, 0.6475978894866796, 0.19654127182095982, 3952.00
0.20, 340, 255, 0.5614817330182926, 0.6330071144600554, 0.21064785702710742, 3830.75
0.40, 338, 253, 0.33441035189113344, 0.6402357432822017, 0.22598070660126135, 3860.75
0.60, 327, 245, 0.3657091406396733, 0.6384600130675339, 0.2486030268854731, 4282.00
0.80, 294, 220, 0.1899428022293223, 0.634842170176667, 0.29018109002318226, 4454.00
1.00, 294, 220, 0.1899428022293223, 0.634842170176667, 0.3318926322596971, 3936.75
1.20, 294, 220, 0.1899428022293223, 0.634842170176667, 0.38905919736320843, 4207.25
