# Opt Vals for Tau = 0.40 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 114, 0.19510151457785013, 0.6119040800504136, 0.22230837633830564, 2832.00
0.20, 110, 0.5827263838248757, 0.6362570488921456, 0.2528910433757182, 2764.00
0.40, 114, 0.19510151457785013, 0.6119040800504136, 0.34062354973862397, 2837.00
0.60, 110, 0.5827263838248757, 0.6362570488921456, 0.4850370311725265, 2316.00
0.80, 114, 0.19510151457785013, 0.6119040800504136, 0.5875131793282838, 2612.50
1.00, 115, 0.38930882150139756, 0.6015852533436766, 0.7380679770708076, 2978.00
1.20, 115, 0.38930882150139756, 0.6015852533436766, 0.7683468887486665, 2664.50
