# Opt Vals for Tau = 0.60 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 185, 0.38930882150139756, 0.6015852533436766, 0.17190850645650851, 1765.00
0.20, 185, 0.38930882150139756, 0.6015852533436766, 0.21537039054712576, 1729.67
0.40, 180, 0.5827263838248757, 0.6362570488921456, 0.30948843442193447, 1571.00
0.60, 180, 0.5827263838248757, 0.6362570488921456, 0.43224910379984166, 1660.00
0.80, 180, 0.5827263838248757, 0.6362570488921456, 0.5435558751855529, 1656.00
1.00, 180, 0.5827263838248757, 0.6362570488921456, 0.6293631546902944, 1738.00
1.20, 184, 0.19510151457785013, 0.6119040800504136, 0.7860579772969756, 1673.00
