# Opt Vals for Tau = 0.80 ms
Lambda (mm), SS1, TF1, TF2, uncertainty (mm), locRate (Hz)
0.09, 220, 0.5827263838248757, 0.6362570488921456, 0.16789461436014624, 1182.25
0.20, 220, 0.5827263838248757, 0.6362570488921456, 0.2223323865599922, 1176.50
0.40, 220, 0.5827263838248757, 0.6362570488921456, 0.31564610078140337, 1224.00
0.60, 220, 0.5827263838248757, 0.6362570488921456, 0.4335671608127064, 1275.00
0.80, 220, 0.5827263838248757, 0.6362570488921456, 0.5272490043752227, 1300.75
1.00, 224, 0.19510151457785013, 0.6119040800504136, 0.6377826891292917, 1275.25
1.20, 220, 0.5827263838248757, 0.6362570488921456, 0.7903674181836027, 1330.25
